[COT 2024-02-20 19:43:42] 76561199407766611: Entered the Free Camera
[COT 2024-02-20 19:43:47] 76561199407766611: Left the Free Camera
[COT 2024-02-20 19:44:02] 76561199407766611: Spawned Entity MMG Equipment Locker Rusty Kit (mmg_equipment_locker_grey_kit<fa3585e0>, 100, 1000, 0) at <2399.537598, 56.439972, 3484.353516>
[COT 2024-02-20 19:44:35] 76561199407766611: Spawned Entity Doc's Galaxy M4 Carstock (DOC_M4CARSTOCK_GALAXY<fa3585e0>, 100, 200, 0) at <2398.870117, 56.439999, 3484.748779>
[COT 2024-02-20 19:44:37] 76561199407766611: Spawned Entity Doc's Galaxy M4 RIS Handguard (DOC_M4RIS_GALAXY<fa360510>, 100, 250, 0) at <2398.859619, 56.526413, 3484.776123>
[COT 2024-02-20 19:44:38] 76561199407766611: Spawned Entity $Doc's Galaxy Suppressor (ItemSuppressor<fa3678b0>, 100, 1800, 0) at <2398.849365, 56.589977, 3484.798584>
[COT 2024-02-20 19:44:40] 76561199407766611: Spawned Entity Doc's Galaxy M4 (DOC_M4_GALAXY<93dde710>, 100, 1200, 0) at <2398.853516, 56.629856, 3484.807373>
[COT 2024-02-20 19:44:41] 76561199407766611: Spawned Entity Doc's Galaxy Stanag69 (DOC_STANAG69_GALAXY<fa366190>, 69, 200, 0) at <2398.846191, 56.725613, 3484.847412>
[COT 2024-02-20 19:44:42] 76561199407766611: Spawned Entity Doc's Galaxy Stanag69 (DOC_STANAG69_GALAXY<fa376b80>, 69, 200, 0) at <2398.840332, 56.812073, 3484.873779>
[COT 2024-02-20 19:45:40] 76561199407766611: Spawned Entity ATOG 6x48 Scope (ACOGOptic_6x<8b7fd530>, 100, 50, 0) at <2398.861328, 56.524242, 3484.829346>
[COT 2024-02-20 19:45:41] 76561199407766611: Spawned Entity ATOG 6x48 Scope (ACOGOptic_6x<9645c4e0>, 100, 50, 0) at <2398.853027, 56.644550, 3484.868408>
[COT 2024-02-20 19:45:41] 76561199407766611: Spawned Entity ATOG 6x48 Scope (ACOGOptic_6x<9644dfb0>, 100, 50, 0) at <2398.847168, 56.730564, 3484.895996>
[COT 2024-02-20 19:45:41] 76561199407766611: Spawned Entity ATOG 6x48 Scope (ACOGOptic_6x<96448b40>, 100, 50, 0) at <2398.839355, 56.840229, 3484.931152>
[COT 2024-02-20 19:45:41] 76561199407766611: Spawned Entity ATOG 6x48 Scope (ACOGOptic_6x<a2ec7100>, 100, 50, 0) at <2398.833496, 56.931190, 3484.960205>
